teamid,schoolid,yearid
1000102,1173,2009
1000103,1173,2014
1000104,1173,2015
1000105,1173,2016
1000106,1173,2017
1000107,1174,2014
1000108,1178,2012
1000109,1181,2009
1000110,1181,2010
1000111,1181,2011
1000112,1181,2012
1000113,1181,2013
1000114,1181,2014
1000115,1181,2015
1000116,1181,2016
1000117,1181,2017
1000118,1184,2014
1000119,1186,2015
1000120,1190,2009
1000121,1190,2010
1000122,1190,2017
1000123,1192,2016
1000124,1195,2013
1000125,1195,2016
1000126,1195,2017
1000127,1196,2010
1000128,1196,2011
1000129,1196,2012
1000130,1196,2013
1000131,1196,2014
1000132,1196,2017
1000133,1196,2018
1000134,1199,2009
1000135,1199,2010
1000136,1199,2011
1000137,1199,2012
1000138,1199,2017
1000139,1201,2016
1000140,1203,2014
1000141,1206,2011
1000142,1207,2010
1000143,1207,2011
1000144,1207,2012
1000145,1207,2013
1000146,1207,2015
1000147,1208,2011
1000148,1208,2015
1000149,1209,2015
1000150,1210,2010
1000151,1211,2009
1000152,1211,2010
1000153,1211,2011
1000154,1211,2012
1000155,1211,2013
1000156,1211,2014
1000157,1211,2015
1000158,1211,2016
1000159,1211,2017
1000160,1211,2018
1000161,1214,2011
1000162,1214,2015
1000163,1214,2016
1000164,1217,2012
1000165,1217,2013
1000166,1217,2014
1000167,1217,2015
1000168,1218,2016
1000169,1221,2016
1000170,1222,2010
1000171,1222,2018
1000172,1228,2009
1000173,1228,2011
1000174,1228,2013
1000175,1231,2012
1000176,1231,2013
1000177,1231,2015
1000178,1231,2016
1000179,1232,2011
1000180,1233,2012
1000181,1233,2013
1000182,1233,2016
1000183,1233,2017
1000184,1233,2018
1000185,1234,2014
1000186,1234,2015
1000187,1234,2016
1000188,1235,2012
1000189,1235,2013
1000190,1235,2014
1000191,1235,2015
1000192,1235,2016
1000193,1235,2017
1000194,1240,2017
1000195,1241,2013
1000196,1242,2009
1000197,1242,2010
1000198,1242,2011
1000199,1242,2012
1000200,1242,2013
1000201,1242,2014
1000202,1242,2015
1000203,1242,2016
1000204,1242,2017
1000205,1242,2018
1000206,1243,2010
1000207,1243,2011
1000208,1243,2012
1000209,1243,2013
1000210,1243,2014
1000211,1243,2017
1000212,1243,2018
1000213,1245,2017
1000214,1246,2010
1000215,1246,2011
1000216,1246,2012
1000217,1246,2014
1000218,1246,2015
1000219,1246,2016
1000220,1246,2017
1000221,1246,2018
1000222,1247,2013
1000223,1248,2015
1000224,1249,2012
1000225,1250,2010
1000226,1250,2012
1000227,1251,2013
1000228,1252,2018
1000229,1253,2012
1000230,1254,2011
1000231,1254,2012
1000232,1254,2013
1000233,1254,2018
1000234,1257,2009
1000235,1257,2010
1000236,1257,2011
1000237,1257,2012
1000238,1257,2013
1000239,1257,2014
1000240,1257,2015
1000241,1257,2017
1000242,1259,2012
1000243,1260,2018
1000244,1261,2009
1000245,1261,2015
1000246,1264,2014
1000247,1264,2015
1000248,1266,2009
1000249,1266,2010
1000250,1266,2011
1000251,1266,2012
1000252,1266,2013
1000253,1266,2017
1000254,1267,2018
1000255,1268,2009
1000256,1268,2010
1000257,1268,2015
1000258,1268,2016
1000259,1268,2017
1000260,1269,2014
1000261,1272,2009
1000262,1272,2011
1000263,1272,2012
1000264,1272,2013
1000265,1272,2014
1000266,1273,2014
1000267,1274,2013
1000268,1274,2016
1000269,1274,2017
1000270,1274,2018
1000271,1276,2009
1000272,1276,2011
1000273,1276,2012
1000274,1276,2013
1000275,1276,2014
1000276,1276,2016
1000277,1276,2017
1000278,1276,2018
1000279,1277,2009
1000280,1277,2010
1000281,1277,2011
1000282,1277,2012
1000283,1277,2013
1000284,1277,2014
1000285,1277,2015
1000286,1277,2016
1000287,1277,2017
1000288,1277,2018
1000289,1278,2009
1000290,1278,2010
1000291,1278,2013
1000292,1278,2017
1000293,1279,2013
1000294,1279,2015
1000295,1280,2009
1000296,1281,2009
1000297,1281,2010
1000298,1281,2011
1000299,1281,2012
1000300,1281,2013
1000301,1281,2018
1000302,1285,2010
1000303,1285,2012
1000304,1285,2013
1000305,1285,2018
1000306,1287,2009
1000307,1287,2011
1000308,1288,2009
1000309,1288,2010
1000310,1290,2012
1000311,1291,2014
1000312,1291,2017
1000313,1292,2013
1000314,1292,2016
1000315,1292,2017
1000316,1293,2010
1000317,1293,2012
1000318,1293,2018
1000319,1294,2011
1000320,1295,2009
1000321,1295,2014
1000322,1295,2015
1000323,1297,2017
1000324,1299,2013
1000325,1300,2014
1000326,1300,2017
1000327,1300,2018
1000328,1301,2012
1000329,1301,2013
1000330,1301,2014
1000331,1301,2015
1000332,1301,2018
1000333,1304,2014
1000334,1305,2017
1000335,1305,2018
1000336,1307,2010
1000337,1307,2012
1000338,1307,2013
1000339,1307,2014
1000340,1308,2010
1000341,1308,2012
1000342,1308,2013
1000343,1308,2014
1000344,1308,2015
1000345,1308,2017
1000346,1308,2018
1000347,1309,2017
1000348,1313,2012
1000349,1314,2009
1000350,1314,2011
1000351,1314,2012
1000352,1314,2013
1000353,1314,2014
1000354,1314,2015
1000355,1314,2016
1000356,1314,2017
1000357,1314,2018
1000358,1315,2017
1000359,1316,2015
1000360,1317,2010
1000361,1318,2015
1000362,1320,2009
1000363,1320,2010
1000364,1320,2015
1000365,1320,2016
1000366,1321,2017
1000367,1322,2013
1000368,1323,2010
1000369,1323,2011
1000370,1323,2012
1000371,1323,2013
1000372,1323,2015
1000373,1323,2016
1000374,1323,2017
1000375,1324,2010
1000376,1324,2011
1000377,1325,2010
1000378,1325,2012
1000379,1326,2009
1000380,1326,2010
1000381,1326,2011
1000382,1326,2012
1000383,1326,2013
1000384,1326,2014
1000385,1326,2015
1000386,1326,2018
1000387,1328,2009
1000388,1328,2013
1000389,1328,2014
1000390,1328,2015
1000391,1328,2016
1000392,1328,2018
1000393,1329,2009
1000394,1329,2010
1000395,1329,2013
1000396,1329,2014
1000397,1329,2015
1000398,1329,2017
1000399,1330,2010
1000400,1330,2011
1000401,1332,2013
1000402,1332,2014
1000403,1332,2015
1000404,1332,2016
1000405,1332,2017
1000406,1333,2016
1000407,1334,2013
1000408,1335,2018
1000409,1336,2011
1000410,1338,2009
1000411,1338,2010
1000412,1338,2011
1000413,1338,2013
1000414,1338,2014
1000415,1338,2016
1000416,1340,2009
1000417,1343,2011
1000418,1343,2017
1000419,1344,2014
1000420,1344,2015
1000421,1344,2016
1000422,1344,2017
1000423,1344,2018
1000424,1345,2009
1000425,1345,2010
1000426,1345,2011
1000427,1345,2012
1000428,1345,2015
1000429,1345,2016
1000430,1345,2017
1000431,1345,2018
1000432,1347,2009
1000433,1347,2018
1000434,1348,2017
1000435,1348,2018
1000436,1350,2010
1000437,1350,2011
1000438,1352,2009
1000439,1352,2010
1000440,1352,2015
1000441,1355,2012
1000442,1355,2013
1000443,1355,2016
1000444,1355,2017
1000445,1355,2018
1000446,1358,2010
1000447,1361,2010
1000448,1361,2011
1000449,1361,2012
1000450,1361,2013
1000451,1361,2014
1000452,1361,2015
1000453,1361,2018
1000454,1364,2010
1000455,1364,2011
1000456,1371,2016
1000457,1371,2017
1000458,1371,2018
1000459,1372,2009
1000460,1372,2014
1000461,1372,2015
1000462,1372,2016
1000463,1372,2018
1000464,1373,2009
1000465,1373,2010
1000466,1374,2015
1000467,1374,2017
1000468,1376,2017
1000469,1378,2012
1000470,1379,2012
1000471,1380,2013
1000472,1380,2016
1000473,1382,2012
1000474,1382,2018
1000475,1385,2011
1000476,1385,2015
1000477,1386,2014
1000478,1386,2016
1000479,1387,2012
1000480,1387,2013
1000481,1387,2014
1000482,1388,2010
1000483,1388,2012
1000484,1388,2013
1000485,1388,2017
1000486,1389,2011
1000487,1390,2014
1000488,1392,2016
1000489,1393,2009
1000490,1393,2010
1000491,1393,2011
1000492,1393,2012
1000493,1393,2013
1000494,1393,2014
1000495,1393,2016
1000496,1393,2018
1000497,1395,2018
1000498,1396,2009
1000499,1396,2010
1000500,1396,2011
1000501,1396,2012
1000502,1396,2013
1000503,1396,2016
1000504,1397,2009
1000505,1397,2010
1000506,1397,2011
1000507,1397,2014
1000508,1397,2018
1000509,1400,2009
1000510,1400,2010
1000511,1400,2011
1000512,1400,2012
1000513,1400,2014
1000514,1400,2015
1000515,1400,2016
1000516,1400,2018
1000517,1401,2009
1000518,1401,2010
1000519,1401,2011
1000520,1401,2016
1000521,1401,2018
1000522,1403,2016
1000523,1403,2018
1000524,1407,2017
1000525,1409,2014
1000526,1409,2016
1000527,1411,2014
1000528,1411,2015
1000529,1411,2017
1000530,1411,2018
1000531,1412,2011
1000532,1412,2015
1000533,1413,2017
1000534,1414,2015
1000535,1417,2009
1000536,1417,2011
1000537,1417,2013
1000538,1417,2014
1000539,1417,2015
1000540,1417,2017
1000541,1417,2018
1000542,1418,2014
1000543,1420,2018
1000544,1421,2011
1000545,1421,2012
1000546,1421,2016
1000547,1422,2018
1000548,1423,2016
1000549,1423,2017
1000550,1424,2010
1000551,1424,2011
1000552,1424,2012
1000553,1424,2013
1000554,1425,2009
1000555,1425,2011
1000556,1425,2016
1000557,1425,2017
1000558,1427,2011
1000559,1428,2009
1000560,1428,2015
1000561,1428,2016
1000562,1429,2009
1000563,1429,2010
1000564,1429,2011
1000565,1431,2010
1000566,1433,2009
1000567,1433,2011
1000568,1433,2012
1000569,1433,2013
1000570,1433,2014
1000571,1433,2015
1000572,1433,2016
1000573,1433,2017
1000574,1434,2013
1000575,1434,2015
1000576,1435,2010
1000577,1435,2011
1000578,1435,2012
1000579,1435,2016
1000580,1435,2017
1000581,1436,2010
1000582,1436,2012
1000583,1436,2017
1000584,1437,2009
1000585,1437,2010
1000586,1437,2011
1000587,1437,2013
1000588,1437,2014
1000589,1437,2015
1000590,1437,2016
1000591,1437,2017
1000592,1437,2018
1000593,1438,2012
1000594,1438,2014
1000595,1438,2015
1000596,1438,2016
1000597,1438,2017
1000598,1438,2018
1000599,1439,2017
1000600,1439,2018
1000601,1443,2009
1000602,1443,2012
1000603,1443,2013
1000604,1444,2014
1000605,1448,2009
1000606,1448,2010
1000607,1448,2017
1000608,1449,2009
1000609,1449,2010
1000610,1449,2011
1000611,1451,2014
1000612,1451,2016
1000613,1452,2009
1000614,1452,2010
1000615,1452,2011
1000616,1452,2012
1000617,1452,2015
1000618,1452,2016
1000619,1452,2017
1000620,1452,2018
1000621,1453,2016
1000622,1454,2014
1000623,1455,2012
1000624,1455,2013
1000625,1455,2014
1000626,1455,2015
1000627,1455,2016
1000628,1455,2017
1000629,1455,2018
1000630,1457,2010
1000631,1457,2017
1000632,1458,2009
1000633,1458,2010
1000634,1458,2011
1000635,1458,2012
1000636,1458,2013
1000637,1458,2014
1000638,1458,2015
1000639,1458,2016
1000640,1458,2017
1000641,1459,2010
1000642,1459,2011
1000643,1459,2014
1000644,1459,2015
1000645,1460,2018
1000646,1461,2015
1000647,1462,2009
1000648,1462,2010
1000649,1462,2011
1000650,1462,2012
1000651,1462,2014
1000652,1462,2015
1000653,1462,2016
1000654,1462,2017
1000655,1462,2018
1000656,1463,2016
