TeamID,TeamName,FirstD1Season,LastD1Season,SrNames
1323,Notre Dame,1985,2019,notre-dame
1324,Oakland,2000,2019,oakland
1325,Ohio,1985,2019,ohio
1326,Ohio St,1985,2019,ohio-state
1328,Oklahoma,1985,2019,oklahoma
1329,Oklahoma St,1985,2019,oklahoma-state
1330,Old Dominion,1985,2019,old-dominion
1332,Oregon,1985,2019,oregon
1333,Oregon St,1985,2019,oregon-state
1334,Pacific,1985,2019,pacific
1335,Penn,1985,2019,pennsylvania
1336,Penn St,1985,2019,penn-state
1338,Pittsburgh,1985,2019,pittsburgh
1340,Portland St,1999,2019,portland-state
1343,Princeton,1985,2019,princeton
1344,Providence,1985,2019,providence
1345,Purdue,1985,2019,purdue
1347,Radford,1985,2019,radford
1348,Rhode Island,1985,2019,rhode-island
1350,Richmond,1985,2019,richmond
1352,Robert Morris,1985,2019,robert-morris
1355,S Dakota St,2006,2019,south-dakota-state
1358,Sam Houston St,1987,2019,sam-houston-state
1361,San Diego St,1985,2019,san-diego-state
1364,Santa Barbara,1985,2019,california-santa-barbara
1371,Seton Hall,1985,2019,seton-hall
1372,SF Austin,1987,2019,stephen-f-austin
1373,Siena,1985,2019,siena
1374,SMU,1985,2019,southern-methodist
1376,South Carolina,1985,2019,south-carolina
1378,South Florida,1985,2019,south-florida
1379,Southern Miss,1985,2019,southern-mississippi
1380,Southern Univ,1985,2019,southern
1382,St Bonaventure,1985,2019,st-bonaventure
1385,St John's,1985,2019,st-johns-ny
1386,St Joseph's PA,1985,2019,saint-josephs
1387,St Louis,1985,2019,saint-louis
1388,St Mary's CA,1985,2019,saint-marys-ca
1389,St Peter's,1985,2019,saint-peters
1390,Stanford,1985,2019,stanford
1392,Stony Brook,2000,2019,stony-brook
1393,Syracuse,1985,2019,syracuse
1395,TCU,1985,2019,texas-christian
1396,Temple,1985,2019,temple
1397,Tennessee,1985,2019,tennessee
1400,Texas,1985,2019,texas
1401,Texas A&M,1985,2019,texas-am
1403,Texas Tech,1985,2019,texas-tech
1407,Troy,1994,2019,troy
1409,Tulsa,1985,2019,tulsa
1411,TX Southern,1985,2019,texas-southern
1412,UAB,1985,2019,alabama-birmingham
1413,UC Davis,2005,2019,california-davis
1414,UC Irvine,1985,2019,california-irvine
1417,UCLA,1985,2019,ucla
1418,ULL,1985,2019,louisiana-lafayette
1420,UMBC,1987,2019,maryland-baltimore-county
1421,UNC Asheville,1987,2019,north-carolina-asheville
1422,UNC Greensboro,1992,2019,north-carolina-greensboro
1423,UNC Wilmington,1985,2019,north-carolina-wilmington
1424,UNLV,1985,2019,nevada-las-vegas
1425,USC,1985,2019,southern-california
1427,UT San Antonio,1985,2019,texas-san-antonio
1428,Utah,1985,2019,utah
1429,Utah St,1985,2019,utah-state
1431,UTEP,1985,2019,texas-el-paso
1433,VA Commonwealth,1985,2019,virginia-commonwealth
1434,Valparaiso,1985,2019,valparaiso
1435,Vanderbilt,1985,2019,vanderbilt
1436,Vermont,1985,2019,vermont
1437,Villanova,1985,2019,villanova
1438,Virginia,1985,2019,virginia
1439,Virginia Tech,1985,2019,virginia-tech
1443,WKU,1985,2019,western-kentucky
1444,W Michigan,1985,2019,western-michigan
1448,Wake Forest,1985,2019,wake-forest
1449,Washington,1985,2019,washington
1451,Weber St,1985,2019,weber-state
1452,West Virginia,1985,2019,west-virginia
1453,WI Green Bay,1985,2019,green-bay
1454,WI Milwaukee,1991,2019,milwaukee
1455,Wichita St,1985,2019,wichita-state
1457,Winthrop,1987,2019,winthrop
1458,Wisconsin,1985,2019,wisconsin
1459,Wofford,1996,2019,wofford
1460,Wright St,1988,2019,wright-state
1461,Wyoming,1985,2019,wyoming
1462,Xavier,1985,2019,xavier
1463,Yale,1985,2019,yale
