teamid,schoolid,yearid
1000857,1125,2015
1000858,1452,2015
1000859,1138,2015
1000860,1455,2015
1000861,1231,2015
1000862,1458,2015
1000863,1157,2015
1000926,1195,2016
1000927,1192,2016
1000928,1455,2016
1000929,1435,2016
1000930,1221,2016
1000931,1380,2016
1000932,1276,2016
1000933,1409,2016
1000934,1114,2016
1000935,1345,2016
1000936,1139,2016
1000937,1403,2016
1000938,1163,2016
1000939,1160,2016
1000940,1181,2016
1000941,1423,2016
1000942,1211,2016
1000943,1371,2016
1000944,1231,2016
1000945,1151,2016
1000946,1235,2016
1000947,1233,2016
1000948,1242,2016
1000949,1122,2016
1000950,1246,2016
1000951,1392,2016
1000952,1274,2016
1000953,1138,2016
1000954,1314,2016
1000956,1344,2016
1000957,1425,2016
1000958,1428,2016
1000959,1201,2016
1000960,1438,2016
1000961,1214,2016
1000963,1112,2016
1000964,1463,2016
1000965,1124,2016
1000966,1218,2016
1000967,1143,2016
1000968,1234,2016
1000969,1396,2016
1000970,1268,2016
1000971,1355,2016
1000972,1292,2016
1000973,1277,2016
1000974,1320,2016
1000975,1400,2016
1000976,1323,2016
1000978,1328,2016
1000979,1167,2016
1000980,1332,2016
1000982,1372,2016
1000983,1452,2016
1000984,1386,2016
1000985,1153,2016
1000986,1393,2016
1000987,1173,2016
1000988,1401,2016
1000989,1453,2016
1000990,1433,2016
1000991,1333,2016
1000992,1437,2016
1000993,1421,2016
1000994,1458,2016
1000995,1338,2016
1000996,1462,2016
1000997,1451,2016
1001060,1243,2017
1001061,1448,2017
1001062,1291,2017
1001063,1309,2017
1001064,1413,2017
1001065,1300,2017
1001066,1425,2017
1001067,1344,2017
1001068,1112,2017
1001069,1315,2017
1001070,1139,2017
1001071,1457,2017
1001072,1196,2017
1001073,1190,2017
1001074,1199,2017
1001075,1195,2017
1001076,1211,2017
1001077,1355,2017
1001078,1235,2017
1001079,1305,2017
1001080,1292,2017
1001081,1278,2017
1001082,1321,2017
1001083,1435,2017
1001084,1323,2017
1001085,1343,2017
1001086,1345,2017
1001087,1436,2017
1001088,1388,2017
1001089,1433,2017
1001090,1437,2017
1001092,1438,2017
1001093,1423,2017
1001094,1452,2017
1001095,1137,2017
1001096,1458,2017
1001097,1439,2017
1001098,1462,2017
1001099,1268,2017
1001100,1116,2017
1001101,1371,2017
1001102,1124,2017
1001103,1308,2017
1001104,1153,2017
1001106,1181,2017
1001107,1407,2017
1001108,1242,2017
1001110,1246,2017
1001111,1297,2017
1001112,1257,2017
1001113,1240,2017
1001114,1276,2017
1001115,1329,2017
1001116,1277,2017
1001117,1274,2017
1001118,1314,2017
1001119,1411,2017
1001120,1332,2017
1001121,1233,2017
1001122,1348,2017
1001123,1166,2017
1001124,1376,2017
1001125,1266,2017
1001126,1417,2017
1001127,1245,2017
1001129,1374,2017
1001130,1455,2017
1001131,1173,2017
1001187,1347,2018
1001188,1254,2018
1001189,1382,2018
1001190,1417,2018
1001191,1393,2018
1001192,1411,2018
1001193,1300,2018
1001194,1439,2018
1001195,1233,2018
1001196,1196,2018
1001198,1211,2018
1001199,1422,2018
1001200,1222,2018
1001201,1361,2018
1001202,1242,2018
1001203,1335,2018
1001204,1246,2018
1001205,1260,2018
1001206,1274,2018
1001207,1276,2018
1001208,1285,2018
1001209,1326,2018
1001210,1355,2018
1001211,1348,2018
1001212,1328,2018
1001213,1371,2018
1001214,1301,2018
1001215,1397,2018
1001216,1460,2018
1001217,1403,2018
1001218,1372,2018
1001219,1437,2018
1001221,1308,2018
1001222,1281,2018
1001223,1243,2018
1001224,1267,2018
1001225,1455,2018
1001226,1277,2018
1001227,1305,2018
1001228,1400,2018
1001229,1314,2018
1001230,1252,2018
1001231,1345,2018
1001233,1395,2018
1001234,1401,2018
1001235,1344,2018
1001236,1420,2018
1001237,1438,2018
1001238,1452,2018
1001239,1293,2018
1001240,1462,2018
