schoolid,TeamName,SrNames
1386,St Joseph's PA,saint-josephs
1387,St Louis,saint-louis
1388,St Mary's CA,saint-marys-ca
1389,St Peter's,saint-peters
1390,Stanford,stanford
1392,Stony Brook,stony-brook
1393,Syracuse,syracuse
1395,TCU,texas-christian
1396,Temple,temple
1397,Tennessee,tennessee
1400,Texas,texas
1401,Texas A&M,texas-am
1403,Texas Tech,texas-tech
1407,Troy,troy
1409,Tulsa,tulsa
1411,TX Southern,texas-southern
1412,UAB,alabama-birmingham
1413,UC Davis,california-davis
1414,UC Irvine,california-irvine
1417,UCLA,ucla
1418,ULL,louisiana-lafayette
1420,UMBC,maryland-baltimore-county
1421,UNC Asheville,north-carolina-asheville
1422,UNC Greensboro,north-carolina-greensboro
1423,UNC Wilmington,north-carolina-wilmington
1424,UNLV,nevada-las-vegas
1425,USC,southern-california
1427,UT San Antonio,texas-san-antonio
1428,Utah,utah
1429,Utah St,utah-state
1431,UTEP,texas-el-paso
1433,VA Commonwealth,virginia-commonwealth
1434,Valparaiso,valparaiso
1435,Vanderbilt,vanderbilt
1436,Vermont,vermont
1437,Villanova,villanova
1438,Virginia,virginia
1439,Virginia Tech,virginia-tech
1443,WKU,western-kentucky
1444,W Michigan,western-michigan
1448,Wake Forest,wake-forest
1449,Washington,washington
1451,Weber St,weber-state
1452,West Virginia,west-virginia
1453,WI Green Bay,green-bay
1454,WI Milwaukee,milwaukee
1455,Wichita St,wichita-state
1457,Winthrop,winthrop
1458,Wisconsin,wisconsin
1459,Wofford,wofford
1460,Wright St,wright-state
1461,Wyoming,wyoming
1462,Xavier,xavier
1463,Yale,yale
